Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

2     1  1  0.000202  0.000202  2.858565
11    1  1 -0.000226  2.852136  0.001857
101   1  1  2.852136 -0.000226  0.001857
112   1  1  2.846504  2.846504  2.846263
1001  1  1  1.402739  1.402739  1.405184
201   1  1  5.710698  0.000078 -0.000067
1101  1  1  4.280778  1.426344  1.425801
701   1  1 19.986823  0.000469  0.001482
801   1  1 22.843080  0.002796  0.012027
812   1  1 22.843553  2.852651  2.854269
1701  1  1 21.415319  1.427289  1.431006
1801  1  1 24.268859  1.429099  1.429016
12    1  1 28.555955  2.853402  2.854495
902   1  1 25.685887  0.002762  2.854798
911   1  1 25.693326  2.861984  0.004557
912   1  1 25.699027  2.853615  2.853874
1901  1  1 27.136104  1.425367  1.431200
21    1  1  0.000078  5.710698 -0.000067
1011  1  1  1.426344  4.280778  1.425801
1811  1  1 24.268974  4.283824  1.428850
921   1  1 25.697592  5.710928  0.000228
1911  1  1 27.126673  4.282659  1.427806
71    1  1  0.000469 19.986823  0.001482
971   1  1 25.697133 19.985023  0.000735
81    1  1  0.002796 22.843080  0.012027
182   1  1  2.852651 22.843553  2.854269
1071  1  1  1.427289 21.415319  1.431006
1081  1  1  1.429099 24.268859  1.429016
1181  1  1  4.283824 24.268974  1.428850
882   1  1 22.857119 22.857119  2.840699
1781  1  1 21.415037 24.266331  1.431497
1871  1  1 24.266331 21.415037  1.431497
1881  1  1 24.311766 24.311766  1.386143
82    1  1 28.532679 22.863027  2.834816
981   1  1 25.694071 22.796624  0.003957
982   1  1 25.704276 22.854950  2.842888
1971  1  1 27.127231 21.416937  1.429298
1981  1  1 27.068996 24.354408  1.343540
102   1  1  2.853402 28.555955  2.854495
92    1  1  0.002762 25.685887  2.854798
191   1  1  2.861984 25.693326  0.004557
192   1  1  2.853615 25.699027  2.853874
1091  1  1  1.425367 27.136104  1.431200
291   1  1  5.710928 25.697592  0.000228
1191  1  1  4.282659 27.126673  1.427806
791   1  1 19.985023 25.697133  0.000735
802   1  1 22.863027 28.532679  2.834816
891   1  1 22.796624 25.694071  0.003957
892   1  1 22.854950 25.704276  2.842888
1791  1  1 21.416937 27.127231  1.429298
1891  1  1 24.354408 27.068996  1.343540
992   1  1 25.693983 25.693983  2.901256
1991  1  1 27.115642 27.115642  1.493748
3     1  1  0.001302  0.001302  5.712635
1002  1  1  1.426474  1.426474  4.282017
1802  1  1 24.266829  1.427278  4.282503
903   1  1 25.696368  0.000438  5.710972
1902  1  1 27.124074  1.426298  4.282571
1082  1  1  1.427278 24.266829  4.282503
1882  1  1 24.266327 24.266327  4.282796
1982  1  1 27.127206 24.268561  4.280890
93    1  1  0.000438 25.696368  5.710972
1092  1  1  1.426298 27.124074  4.282571
1892  1  1 24.268561 27.127206  4.280890
993   1  1 25.697117 25.697117  5.712788
1992  1  1 27.129323 27.129323  4.290809
8     1  1  0.000310  0.000310 19.987291
908   1  1 25.697929  0.000153 19.987101
98    1  1  0.000153 25.697929 19.987101
998   1  1 25.697881 25.697881 19.986678
9     1  1  0.002644  0.002644 22.843535
119   1  1  2.848031  2.848031 22.849802
1008  1  1  1.426941  1.426941 21.416646
1009  1  1  1.410034  1.410034 24.287873
1109  1  1  4.281171  1.426910 24.270922
819   1  1 22.851566  2.846493 22.851330
1709  1  1 21.415839  1.426456 24.271375
1808  1  1 24.272038  1.426354 21.417063
1809  1  1 24.292709  1.402759 24.295157
19    1  1 28.549977  2.848916 22.848942
909   1  1 25.696123 -0.000126 22.845754
919   1  1 25.698173  2.849751 22.848098
1908  1  1 27.124833  1.426065 21.417084
1909  1  1 27.117799  1.412153 24.285792
1019  1  1  1.426910  4.281171 24.270922
1819  1  1 24.272035  4.280765 24.271492
1919  1  1 27.124801  4.280743 24.271816
189   1  1  2.846493 22.851566 22.851330
1079  1  1  1.426456 21.415839 24.271375
1088  1  1  1.426354 24.272038 21.417063
1089  1  1  1.402759 24.292709 24.295157
1189  1  1  4.280765 24.272035 24.271492
1789  1  1 21.415152 24.267329 24.271013
1879  1  1 24.267329 21.415152 24.271013
1888  1  1 24.269862 24.269862 21.413424
1889  1  1 24.270853 24.270853 24.270656
89    1  1 28.555960 22.843401 22.844479
989   1  1 25.699397 22.844364 22.844484
1979  1  1 27.124158 21.415289 24.271611
1988  1  1 27.126826 24.270160 21.415136
1989  1  1 27.136376 24.267003 24.272772
109   1  1  2.848916 28.549977 22.848942
99    1  1 -0.000126 25.696123 22.845754
199   1  1  2.849751 25.698173 22.848098
1098  1  1  1.426065 27.124833 21.417084
1099  1  1  1.412153 27.117799 24.285792
1199  1  1  4.280743 27.124801 24.271816
809   1  1 22.843401 28.555960 22.844479
899   1  1 22.844364 25.699397 22.844484
