Generated by pymatgen.io.lammps.data.LammpsData

167  atoms

  2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

1     2  1 28.500781 28.500781 28.500781
2     2  1 -0.000153 -0.000153  2.850819
3     2  1 -0.000051 -0.000051  5.709905
8     2  1  0.002417  0.002417 19.984079
9     2  1  0.005445  0.005445 22.834310
10    2  1 28.456360 28.456360 25.751579
11    2  1 -0.000153  2.850819 -0.000153
12    2  1 28.548932  2.847301  2.847301
19    2  1 28.555163  2.852628 22.844317
20    2  1 -0.002303  2.849273 25.695930
21    2  1 -0.000051  5.709905 -0.000051
30    2  1 -0.000173  5.710280 25.697936
71    2  1  0.002417 19.984079  0.002417
80    2  1  0.000839 19.986121 25.696044
81    2  1  0.005445 22.834310  0.005445
82    2  1 28.555162 22.844317  2.852628
89    2  1 28.538271 22.857877 22.857877
90    2  1  0.005011 22.838636 25.686485
91    2  1 28.456361 25.751579 28.456361
92    2  1 -0.002303 25.695930  2.849273
93    2  1 -0.000173 25.697936  5.710280
98    2  1  0.000839 25.696044 19.986121
99    2  1  0.005011 25.686485 22.838636
100   2  1 28.575705 25.716534 25.716534
101   2  1  2.850819 -0.000153 -0.000153
102   2  1  2.847301 28.548932  2.847301
109   2  1  2.852628 28.555163 22.844317
110   2  1  2.849273 -0.002303 25.695930
111   2  1  2.847301  2.847301 28.548932
112   2  1  2.846798  2.846798  2.846798
119   2  1  2.846263  2.846263 22.852482
120   2  1  2.848922  2.848922 25.698758
181   2  1  2.852628 22.844317 28.555163
182   2  1  2.846263 22.852482  2.846263
189   2  1  2.851402 22.845527 22.845527
190   2  1  2.853023 22.844464 25.698531
191   2  1  2.849273 25.695930 -0.002303
192   2  1  2.848922 25.698758  2.848922
199   2  1  2.853023 25.698531 22.844464
200   2  1  2.859046 25.693538 25.693538
201   2  1  5.709905 -0.000051 -0.000051
210   2  1  5.710280 -0.000173 25.697936
291   2  1  5.710280 25.697936 -0.000173
300   2  1  5.710728 25.697623 25.697623
701   2  1 19.984079  0.002417  0.002417
710   2  1 19.986121  0.000839 25.696044
791   2  1 19.986121 25.696044  0.000839
800   2  1 19.985704 25.696599 25.696599
801   2  1 22.834310  0.005445  0.005445
802   2  1 22.844317 28.555162  2.852628
809   2  1 22.857877 28.538271 22.857877
810   2  1 22.838636  0.005010 25.686485
811   2  1 22.844317  2.852628 28.555162
812   2  1 22.852482  2.846263  2.846263
819   2  1 22.845527  2.851402 22.845527
820   2  1 22.844464  2.853023 25.698531
881   2  1 22.857877 22.857877 28.538271
882   2  1 22.845527 22.845527  2.851402
890   2  1 22.857779 22.857779 25.694517
891   2  1 22.838636 25.686485  0.005010
892   2  1 22.844464 25.698531  2.853023
899   2  1 22.857779 25.694517 22.857779
900   2  1 22.799592 25.702020 25.702020
901   2  1 25.751579 28.456361 28.456361
902   2  1 25.695930 -0.002303  2.849273
903   2  1 25.697936 -0.000173  5.710280
908   2  1 25.696044  0.000839 19.986121
909   2  1 25.686485  0.005011 22.838636
910   2  1 25.716534 28.575705 25.716534
911   2  1 25.695930  2.849273 -0.002303
912   2  1 25.698758  2.848922  2.848922
919   2  1 25.698531  2.853023 22.844464
920   2  1 25.693538  2.859046 25.693538
921   2  1 25.697936  5.710280 -0.000173
930   2  1 25.697623  5.710728 25.697623
971   2  1 25.696044 19.986121  0.000839
980   2  1 25.696599 19.985704 25.696599
981   2  1 25.686485 22.838636  0.005010
982   2  1 25.698531 22.844464  2.853023
989   2  1 25.694517 22.857779 22.857779
990   2  1 25.702020 22.799592 25.702020
991   2  1 25.716534 25.716534 28.575705
992   2  1 25.693538 25.693538  2.859046
993   2  1 25.697623 25.697623  5.710728
998   2  1 25.696599 25.696599 19.985704
999   2  1 25.702020 25.702020 22.799592
1000  2  1 26.202929 26.202929 26.202928
1001  2  1  1.406604  1.406604  1.406604
1002  2  1  1.425831  1.425831  4.279823
1008  2  1  1.428368  1.428368 21.414695
1009  2  1  1.401406  1.401406 24.294290
1010  2  1  1.407952  1.407952 27.115765
1011  2  1  1.425831  4.279823  1.425831
1019  2  1  1.425715  4.280108 24.272600
1020  2  1  1.424994  4.279541 27.124525
1071  2  1  1.428368 21.414695  1.428368
1079  2  1  1.428027 21.414786 24.266922
1080  2  1  1.427614 21.413947 27.124408
1081  2  1  1.401406 24.294290  1.401406
1082  2  1  1.425715 24.272600  4.280108
1088  2  1  1.428027 24.266922 21.414786
1089  2  1  1.423004 24.275026 24.275026
1090  2  1  1.422270 24.268435 27.131756
1091  2  1  1.407952 27.115765  1.407953
1092  2  1  1.424994 27.124525  4.279541
1098  2  1  1.427614 27.124408 21.413947
1099  2  1  1.422270 27.131756 24.268435
1100  2  1  1.464662 27.123020 27.123020
1101  2  1  4.279823  1.425831  1.425831
