Generated by pymatgen.io.lammps.data.LammpsData

1999  atoms

   2  atom types

0.000000 28.553120  xlo xhi
0.000000 28.553120  ylo yhi
0.000000 28.553120  zlo zhi
0.000000 0.000000 0.000000  xy xz yz

Masses

1  55.847000
2  30.973762

Atoms

2     0  1  0.001611  0.001611  2.855120
11    0  1  0.001611  2.855267  0.001464
101   0  1  2.855267  0.001611  0.001464
112   0  1  2.848888  2.848888  2.848741
1001  0  1  1.411914  1.411914  1.411767
212   0  1  5.709435  2.854368  2.854221
1101  0  1  4.281792  1.426851  1.426704
1201  0  1  7.138130  1.427537  1.427390
312   0  1  8.565670  2.855128  2.854981
412   0  1 11.421239  2.855297  2.855150
1301  0  1  9.993606  1.427665  1.427518
402   0  1 11.421274  0.000044  2.855188
512   0  1 14.276698  2.855297  2.855150
1401  0  1 12.848968  1.427700  1.427553
1501  0  1 15.704330  1.427665  1.427518
502   0  1 14.276662  0.000044  2.855188
612   0  1 17.132267  2.855127  2.854981
712   0  1 19.988502  2.854368  2.854221
1601  0  1 18.559806  1.427537  1.427390
812   0  1 22.849048  2.848888  2.848741
1701  0  1 21.416145  1.426851  1.426704
1801  0  1 24.286023  1.411914  1.411767
801   0  1 22.842670  0.001611  0.001464
12    0  1 28.552763  2.851734  2.851587
902   0  1 25.696326  0.001611  2.855120
911   0  1 25.696326  2.855267  0.001464
912   0  1 25.698294  2.851734  2.851587
1901  0  1 27.125528  1.421168  1.421021
122   0  1  2.854368  5.709435  2.854221
1011  0  1  1.426851  4.281792  1.426704
1021  0  1  1.427537  7.138130  1.427390
222   0  1  5.709411  5.709411  2.854583
1111  0  1  4.280916  4.280916  1.426866
1121  0  1  4.282389  7.137597  1.427269
1211  0  1  7.137597  4.282389  1.427269
1221  0  1  7.137583  7.137583  1.427348
322   0  1  8.565459  5.710207  2.854952
422   0  1 11.421176  5.710516  2.855114
1311  0  1  9.993443  4.282853  1.427474
1321  0  1  9.993331  7.138029  1.427466
522   0  1 14.276761  5.710516  2.855114
1411  0  1 12.848968  4.282955  1.427524
1421  0  1 12.848968  7.138181  1.427505
1511  0  1 15.704493  4.282853  1.427474
1521  0  1 15.704606  7.138029  1.427466
622   0  1 17.132478  5.710207  2.854952
722   0  1 19.988526  5.709411  2.854583
1611  0  1 18.560339  4.282389  1.427269
1621  0  1 18.560354  7.137583  1.427348
822   0  1 22.843569  5.709435  2.854221
1711  0  1 21.417021  4.280916  1.426866
1721  0  1 21.415548  7.137597  1.427269
1811  0  1 24.271085  4.281792  1.426704
1821  0  1 24.270400  7.138130  1.427390
22    0  1 28.552925  5.709773  2.854471
922   0  1 25.698132  5.709773  2.854471
1911  0  1 27.125528  4.282116  1.426760
1921  0  1 27.125528  7.138250  1.427439
132   0  1  2.855128  8.565670  2.854981
142   0  1  2.855297 11.421239  2.855150
1031  0  1  1.427665  9.993606  1.427518
42    0  1  0.000044 11.421274  2.855188
232   0  1  5.710207  8.565459  2.854952
242   0  1  5.710516 11.421176  2.855114
1131  0  1  4.282853  9.993443  1.427474
1231  0  1  7.138029  9.993331  1.427466
332   0  1  8.565540  8.565540  2.855028
342   0  1  8.565775 11.421158  2.855109
432   0  1 11.421158  8.565775  2.855109
442   0  1 11.421200 11.421200  2.855119
1331  0  1  9.993401  9.993401  1.427486
532   0  1 14.276779  8.565775  2.855109
542   0  1 14.276736 11.421200  2.855119
1431  0  1 12.848968  9.993492  1.427500
1531  0  1 15.704535  9.993401  1.427486
632   0  1 17.132396  8.565540  2.855029
642   0  1 17.132161 11.421158  2.855109
732   0  1 19.987730  8.565459  2.854952
742   0  1 19.987421 11.421176  2.855114
1631  0  1 18.559908  9.993331  1.427466
832   0  1 22.842809  8.565670  2.854981
842   0  1 22.842640 11.421239  2.855150
1731  0  1 21.415084  9.993443  1.427474
1831  0  1 24.270271  9.993606  1.427518
32    0  1 28.553113  8.565792  2.855054
932   0  1 25.697944  8.565792  2.855054
942   0  1 25.697893 11.421274  2.855188
1931  0  1 27.125528  9.993657  1.427544
152   0  1  2.855297 14.276698  2.855150
1041  0  1  1.427700 12.848968  1.427553
1051  0  1  1.427665 15.704330  1.427518
52    0  1  0.000044 14.276662  2.855188
252   0  1  5.710516 14.276761  2.855114
1141  0  1  4.282955 12.848968  1.427524
1151  0  1  4.282853 15.704493  1.427474
1241  0  1  7.138181 12.848968  1.427505
1251  0  1  7.138029 15.704606  1.427466
352   0  1  8.565775 14.276779  2.855109
452   0  1 11.421200 14.276736  2.855119
1341  0  1  9.993492 12.848968  1.427500
1351  0  1  9.993401 15.704535  1.427486
552   0  1 14.276736 14.276736  2.855119
1441  0  1 12.848968 12.848968  1.427501
1451  0  1 12.848968 15.704445  1.427500
1541  0  1 15.704445 12.848968  1.427500
1551  0  1 15.704535 15.704535  1.427486
652   0  1 17.132161 14.276779  2.855109
752   0  1 19.987421 14.276761  2.855114
1641  0  1 18.559756 12.848968  1.427505
