,iter,ntrans,curvature,ediff,ediffmax
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,2.0,0.0,10.239,0.0,0.0
3,3.0,0.0,10.239,0.0,0.0
4,4.0,0.0,6.012,0.0,0.0
5,5.0,0.0,6.012,0.0,0.0
6,6.0,0.0,4.525,0.0,0.0
7,79.0,10.0,1.473,0.26,0.262
8,80.0,10.0,1.473,0.273,0.273
9,81.0,10.0,1.473,0.314,0.314
10,82.0,10.0,1.462,0.31,0.314
11,83.0,10.0,1.462,0.312,0.314
12,84.0,10.0,1.457,0.31,0.314
13,85.0,10.0,1.457,0.312,0.314
14,86.0,10.0,1.453,0.31,0.314
15,159.0,20.0,1.326,1.0,1.005
16,160.0,20.0,1.326,1.028,1.028
17,161.0,20.0,1.326,1.107,1.107
18,162.0,20.0,1.314,1.099,1.107
19,163.0,20.0,1.314,1.102,1.107
20,164.0,20.0,1.313,1.099,1.107
21,165.0,20.0,1.313,1.102,1.107
22,166.0,20.0,1.313,1.099,1.107
23,239.0,30.0,1.211,2.241,2.249
24,240.0,30.0,1.211,2.283,2.283
25,241.0,30.0,1.211,2.4,2.4
26,242.0,30.0,1.205,2.388,2.4
27,243.0,30.0,1.205,2.393,2.4
28,244.0,30.0,1.205,2.388,2.4
29,245.0,30.0,1.205,2.393,2.4
30,246.0,30.0,1.205,2.388,2.4
31,319.0,40.0,1.163,3.972,3.982
32,320.0,40.0,1.163,4.027,4.027
33,321.0,40.0,1.163,4.182,4.182
34,322.0,40.0,1.158,4.166,4.182
35,323.0,40.0,1.158,4.172,4.182
36,324.0,40.0,1.158,4.166,4.182
37,325.0,40.0,1.158,4.172,4.182
38,326.0,40.0,1.158,4.166,4.182
39,399.0,50.0,1.108,6.177,6.189
40,400.0,50.0,1.108,6.245,6.245
41,401.0,50.0,1.108,6.434,6.434
42,402.0,50.0,1.103,6.415,6.434
43,403.0,50.0,1.103,6.422,6.434
44,404.0,50.0,1.103,6.415,6.434
45,405.0,50.0,1.103,6.422,6.434
46,406.0,50.0,1.103,6.415,6.434
47,479.0,60.0,1.07,8.801,8.816
48,480.0,60.0,1.07,8.88,8.88
49,481.0,60.0,1.07,9.097,9.097
50,482.0,60.0,1.063,9.075,9.097
51,483.0,60.0,1.063,9.082,9.097
52,484.0,60.0,1.064,9.075,9.097
53,485.0,60.0,1.064,9.082,9.097
54,486.0,60.0,1.064,9.075,9.097
55,559.0,70.0,0.768,11.569,11.581
56,560.0,70.0,0.768,11.636,11.636
57,561.0,70.0,0.768,11.822,11.822
58,562.0,70.0,0.787,11.804,11.822
59,563.0,70.0,0.787,11.81,11.822
60,564.0,70.0,0.776,11.804,11.822
61,565.0,70.0,0.776,11.81,11.822
62,566.0,70.0,0.767,11.804,11.822
63,639.0,80.0,-0.372,12.878,13.242
64,640.0,80.0,-0.372,12.818,13.242
65,641.0,80.0,-0.372,12.677,13.242
66,642.0,80.0,-0.311,12.668,13.242
67,643.0,80.0,-0.311,12.675,13.242
68,644.0,80.0,-0.385,12.669,13.242
69,645.0,80.0,-0.385,12.675,13.242
70,646.0,80.0,-0.441,12.669,13.242
71,715.0,90.0,-2.441,10.572,13.242
72,716.0,90.0,-2.441,10.495,13.242
73,717.0,90.0,-2.441,10.332,13.242
74,718.0,90.0,-2.497,10.332,13.242
75,755.0,100.0,-2.884,8.355,13.242
76,756.0,100.0,-2.884,8.292,13.242
77,757.0,100.0,-2.884,8.147,13.242
78,758.0,100.0,-2.891,8.147,13.242
79,799.0,110.0,-3.032,6.398,13.242
80,800.0,110.0,-3.032,6.344,13.242
81,801.0,110.0,-3.032,6.217,13.242
82,802.0,110.0,-3.057,6.217,13.242
83,843.0,120.0,-3.397,4.699,13.242
84,844.0,120.0,-3.397,4.652,13.242
85,845.0,120.0,-3.397,4.543,13.242
86,846.0,120.0,-3.442,4.543,13.242
87,883.0,130.0,-3.694,3.271,13.242
88,884.0,130.0,-3.694,3.233,13.242
89,885.0,130.0,-3.694,3.144,13.242
90,886.0,130.0,-3.7,3.144,13.242
91,923.0,140.0,-3.802,2.132,13.242
92,924.0,140.0,-3.802,2.103,13.242
93,925.0,140.0,-3.802,2.035,13.242
94,926.0,140.0,-3.816,2.035,13.242
95,963.0,150.0,-3.902,1.299,13.242
96,964.0,150.0,-3.902,1.28,13.242
97,965.0,150.0,-3.902,1.235,13.242
98,966.0,150.0,-3.892,1.235,13.242
99,967.0,150.0,-3.892,1.234,13.242
100,968.0,150.0,-3.893,1.235,13.242
101,1009.0,160.0,-3.574,0.8,13.242
102,1010.0,160.0,-3.574,0.79,13.242
103,1011.0,160.0,-3.574,0.769,13.242
104,1012.0,160.0,-3.516,0.769,13.242
105,1057.0,170.0,-2.999,0.646,13.242
106,1058.0,170.0,-2.999,0.646,13.242
107,1059.0,170.0,-2.999,0.646,13.242
108,1060.0,170.0,-2.974,0.646,13.242
109,1093.0,180.0,-2.974,0.646,13.242
110,1094.0,180.0,-2.974,0.646,13.242
111,1095.0,180.0,-2.974,0.646,13.242
