,iter,ntrans,curvature,ediff,ediffmax
0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0,0.0
2,2.0,0.0,10.252,0.0,0.0
3,3.0,0.0,10.252,0.0,0.0
4,4.0,0.0,5.628,0.0,0.0
5,5.0,0.0,5.628,0.0,0.0
6,6.0,0.0,4.337,0.0,0.0
7,79.0,10.0,1.395,0.246,0.248
8,80.0,10.0,1.395,0.255,0.255
9,81.0,10.0,1.395,0.292,0.292
10,82.0,10.0,1.388,0.296,0.296
11,83.0,10.0,1.388,0.294,0.296
12,84.0,10.0,1.386,0.296,0.296
13,85.0,10.0,1.386,0.294,0.296
14,86.0,10.0,1.384,0.296,0.296
15,159.0,20.0,1.323,0.968,0.971
16,160.0,20.0,1.323,0.986,0.986
17,161.0,20.0,1.323,1.064,1.064
18,162.0,20.0,1.315,1.072,1.072
19,163.0,20.0,1.315,1.069,1.072
20,164.0,20.0,1.315,1.072,1.072
21,165.0,20.0,1.315,1.069,1.072
22,166.0,20.0,1.315,1.072,1.072
23,239.0,30.0,1.206,2.213,2.217
24,240.0,30.0,1.206,2.24,2.24
25,241.0,30.0,1.206,2.357,2.357
26,242.0,30.0,1.192,2.368,2.368
27,243.0,30.0,1.192,2.364,2.368
28,244.0,30.0,1.193,2.368,2.368
29,245.0,30.0,1.193,2.365,2.368
30,246.0,30.0,1.192,2.368,2.368
31,319.0,40.0,1.103,3.928,3.933
32,320.0,40.0,1.103,3.963,3.963
33,321.0,40.0,1.103,4.114,4.114
34,322.0,40.0,1.098,4.129,4.129
35,323.0,40.0,1.098,4.124,4.129
36,324.0,40.0,1.098,4.129,4.129
37,325.0,40.0,1.098,4.124,4.129
38,326.0,40.0,1.098,4.129,4.129
39,399.0,50.0,1.044,6.089,6.095
40,400.0,50.0,1.044,6.132,6.132
41,401.0,50.0,1.044,6.317,6.317
42,402.0,50.0,1.034,6.336,6.336
43,403.0,50.0,1.034,6.329,6.336
44,404.0,50.0,1.034,6.336,6.336
45,405.0,50.0,1.034,6.329,6.336
46,406.0,50.0,1.034,6.336,6.336
47,479.0,60.0,0.876,8.667,8.675
48,480.0,60.0,0.876,8.717,8.717
49,481.0,60.0,0.876,8.929,8.929
50,482.0,60.0,0.847,8.95,8.95
51,483.0,60.0,0.847,8.942,8.95
52,484.0,60.0,0.844,8.95,8.95
53,485.0,60.0,0.844,8.942,8.95
54,486.0,60.0,0.843,8.95,8.95
55,559.0,70.0,0.371,11.333,11.341
56,560.0,70.0,0.371,11.375,11.375
57,561.0,70.0,0.371,11.552,11.552
58,562.0,70.0,0.416,11.57,11.57
59,563.0,70.0,0.416,11.564,11.57
60,564.0,70.0,0.398,11.569,11.57
61,565.0,70.0,0.398,11.564,11.57
62,566.0,70.0,0.384,11.569,11.57
63,639.0,80.0,-1.576,11.463,12.34
64,640.0,80.0,-1.576,11.398,12.34
65,641.0,80.0,-1.576,11.245,12.34
66,642.0,80.0,-1.613,11.248,12.34
67,643.0,80.0,-1.613,11.243,12.34
68,644.0,80.0,-1.659,11.248,12.34
69,645.0,80.0,-1.659,11.243,12.34
70,646.0,80.0,-1.693,11.248,12.34
71,717.0,90.0,-1.253,9.281,12.34
72,718.0,90.0,-1.253,9.214,12.34
73,719.0,90.0,-1.253,9.069,12.34
74,720.0,90.0,-1.183,9.07,12.34
75,721.0,90.0,-1.183,9.072,12.34
76,722.0,90.0,-1.188,9.07,12.34
77,723.0,90.0,-1.188,9.072,12.34
78,724.0,90.0,-1.192,9.07,12.34
79,797.0,100.0,-1.254,7.316,12.34
80,798.0,100.0,-1.254,7.261,12.34
81,799.0,100.0,-1.254,7.133,12.34
82,800.0,100.0,-1.348,7.135,12.34
83,801.0,100.0,-1.348,7.133,12.34
84,802.0,100.0,-1.36,7.135,12.34
85,803.0,100.0,-1.36,7.133,12.34
86,804.0,100.0,-1.365,7.135,12.34
87,873.0,110.0,-2.336,5.552,12.34
88,874.0,110.0,-2.336,5.503,12.34
89,875.0,110.0,-2.336,5.387,12.34
90,876.0,110.0,-2.408,5.388,12.34
91,877.0,110.0,-2.408,5.386,12.34
92,878.0,110.0,-2.41,5.388,12.34
93,935.0,120.0,-2.447,3.998,12.34
94,936.0,120.0,-2.447,3.956,12.34
95,937.0,120.0,-2.447,3.856,12.34
96,938.0,120.0,-2.438,3.857,12.34
